Neighborhood Number,Neighborhood Name
1,West Humber-Clairville
2,Mount Olive-Silverstone-Jamestown
3,Thistletown-Beaumond Heights
4,Rexdale-Kipling
5,Elms-Old Rexdale
6,Kingsview Village-The Westway
7,Willowridge-Martingrove-Richview
8,Humber Heights-Westmount
9,Edenbridge-Humber Valley
10,Princess-Rosethorn
11,Eringate-Centennial-West Deane
12,Markland Wood
13,Etobicoke West Mall
15,Kingsway South
16,Stonegate-Queensway
18,New Toronto
19,Long Branch
20,Alderwood
21,Humber Summit
22,Humbermede
23,Pelmo Park-Humberlea
24,Black Creek
25,Glenfield-Jane Heights
27,York University Heights
28,Rustic
29,Maple Leaf
30,Brookhaven-Amesbury
31,Yorkdale-Glen Park
32,Englemount-Lawrence
33,Clanton Park
34,Bathurst Manor
35,Westminster-Branson
36,Newtonbrook West
37,Willowdale West
38,Lansing-Westgate
39,Bedford Park-Nortown
40,St.Andrew-Windfields
41,Bridle Path-Sunnybrook-York Mills
42,Banbury-Don Mills
43,Victoria Village
44,Flemingdon Park
46,Pleasant View
47,Don Valley Village
48,Hillcrest Village
49,Bayview Woods-Steeles
50,Newtonbrook East
52,Bayview Village
53,Henry Farm
54,O`Connor Parkview
55,Thorncliffe Park
56,Leaside-Bennington
57,Broadview North
58,Old East York
59,Danforth-East York
60,Woodbine-Lumsden
61,Taylor Massey
62,East End Danforth
63,The Beaches
64,Woodbine Corridor
65,Greenwood-Coxwell
66,Danforth
67,Playter Estates-Danforth
68,North Riverdale
69,Blake-Jones
70,South Riverdale
71,Cabbagetown-South St. James Town
72,Regent Park
73,Moss Park
74,North St. James Town
78,Kensington-Chinatown
79,University
80,Palmerston-Little Italy
81,Trinity-Bellwoods
83,Dufferin Grove
84,Little Portugal
85,South Parkdale
86,Roncesvalles
87,High Park-Swansea
88,High Park North
89,Runnymede-Bloor West Village
90,Junction Area
91,Weston-Pelham Park
92,Corso Italia-Davenport
94,Wychwood
95,Annex
96,Casa Loma
97,Yonge-St. Clair
98,Rosedale-Moore Park
99,Mount Pleasant East
100,Yonge-Eglinton
101,Forest Hill South
102,Forest Hill North
103,Lawrence Park South
105,Lawrence Park North
106,Humewood-Cedarvale
107,Oakwood Village
108,Briar Hill-Belgravia
109,Caledonia-Fairbank
110,Keelesdale-Eglinton West
111,Rockcliffe-Smythe
112,Beechborough-Greenbrook
113,Weston
114,Lambton Baby Point
115,Mount Dennis
116,Steeles
118,Tam O'Shanter-Sullivan
119,Wexford/Maryvale
120,Clairlea-Birchmount
121,Oakridge
122,Birchcliffe-Cliffside
123,Cliffcrest
124,Kennedy Park
125,Ionview
126,Dorset Park
128,Agincourt South-Malvern West
129,Agincourt North
130,Milliken
133,Centennial Scarborough
134,Highland Creek
135,Morningside
136,West Hill
138,Eglinton East
139,Scarborough Village
140,Guildwood
141,Golfdale-Cedarbrae-Woburn
142,Woburn North
143,West Rouge
144,Morningside Heights
145,Malvern West
146,Malvern East
147,L'Amoreaux West
148,East L'Amoreaux
149,Parkwoods-O'Connor Hills
150,Fenside-Parkwoods
151,Yonge-Doris
152,East Willowdale
153,Avondale
154,Oakdale-Beverley Heights
155,Downsview
156,Bendale-Glen Andrew
157,Bendale South
158,Islington
159,Etobicoke City Centre
160,Mimico-Queensway
161,Humber Bay Shores
162,West Queen West
163,Fort York-Liberty Village
164,Wellington Place
165,Harbourfront-CityPlace
166,St Lawrence-East Bayfront-The Islands
167,Church-Wellesley
168,Downtown Yonge East
169,Bay-Cloverhill
170,Yonge-Bay Corridor
171,Junction-Wallace Emerson
172,Dovercourt Village
173,North Toronto
174,South Eglinton-Davisville
